filename,date_taken,location,taken_by,legal_relevance,notes
mailbox_incident.jpg,2025-10-03,GRH-funded residence - Saint Paul,Ira,"Retaliation (Minn. Stat. § 504B.441)","Chain of custody: Dropbox"
missing_items.jpg,2025-10-07,Shared storage shelf - unit 2,Ira,"Mishandling (Minn. Stat. § 504B.178)","Compare to earlier photos"
